======================================================================
3-Round + Parallel Analysis (思考模式版本) - Question #3038
======================================================================

Base Thinking Mode: True
Analyst Thinking Mode: True

Title: List of Big Brother (UK) housemates
Question: who is the previous housemate before craig phillips?
Expected Answer: ['Anna Nolan']

----------------------------------------------------------------------
Table:
|     | Series   | Name                          |   Age | Hometown             | Occupation                                 | Status            |
|----:|:---------|:------------------------------|------:|:---------------------|:-------------------------------------------|:------------------|
|   0 | BB1      | Craig Phillips                |    28 | Liverpool            | Builder                                    | 1st - Winner      |
|   1 | BB1      | Anna Nolan                    |    29 | Dublin               | Office Manager                             | 2nd - Runner-up   |
|   2 | BB1      | Darren Ramsay                 |    23 | London               | Millennium Dome Assistant                  | 3rd - Third place |
|   3 | BB1      | Melanie Hill                  |    26 | London               | Computer Sales Woman                       | 4th - Evicted     |
|   4 | BB1      | Claire Strutton               |    25 | Buckinghamshire      | Florist                                    | 5th - Evicted     |
|   5 | BB1      | Tom McDermott                 |    28 | County Tyrone        | Farmer                                     | 6th - Evicted     |
|   6 | BB1      | Nichola Holt                  |    29 | Bolton               | Teacher                                    | 7th - Evicted     |
|   7 | BB1      | Nick Bateman                  |    32 | Kent                 | Broker                                     | 8th - Ejected     |
|   8 | BB1      | Caroline O'Shea               |    31 | Birmingham           | Marital Aids Seller                        | 9th - Evicted     |
|   9 | BB1      | Andrew Davidson               |    23 | Hertfordshire        | Marketing Product Manager                  | 10th - Evicted    |
|  10 | BB1      | Sada Wilkington               |    28 | Edinburgh            | Writer                                     | 11th - Evicted    |
|  11 | BB2      | Brian Dowling                 |    22 | County Kildare       | Air Steward                                | 1st - Winner      |
|  12 | BB2      | Helen Adams                   |    22 | South Wales          | Hairdresser                                | 2nd - Runner-up   |
|  13 | BB2      | Dean O'Loughlin               |    37 | Birmingham           | Runs own Internet Company                  | 3rd - Third Place |
|  14 | BB2      | Elizabeth Woodcock            |    26 | Cumbria              | Website Designer                           | 4th - Evicted     |
|  15 | BB2      | Paul Clarke                   |    25 | Reading              | CAD designer                               | 5th - Evicted     |
|  16 | BB2      | Josh Rafter                   |    32 | London               | Property manager                           | 6th - Evicted     |
|  17 | BB2      | Amma Antwi-Agyei              |    23 | London               | Table Dancer                               | 7th - Evicted     |
|  18 | BB2      | Bubble (Paul) Ferguson        |    24 | Surrey               | Warehouse Operative                        | 8th - Evicted     |
|  19 | BB2      | Narinder Kaur                 |    28 | Leicester            | Medical rep                                | 9th - Evicted     |
|  20 | BB2      | Stuart Hosking                |    36 | Oxford               | Director of communications company         | 10th - Evicted    |
