======================================================================
3-Round + Parallel Analysis (FIXED) - Question #1948
======================================================================

Title: List of places in Pennsylvania: Sa–Si
Question: how many zipcodes does sheridan have?
Expected Answer: ['2']

----------------------------------------------------------------------
Table:
|     | Name of place                  |   Number of counties | Principal county      |   Lower zip code |   Upper zip code |
|----:|:-------------------------------|---------------------:|:----------------------|-----------------:|-----------------:|
|   0 | Sabinsville                    |                    1 | Tioga County          |            16943 |              nan |
|   1 | Sabula                         |                    1 | Clearfield County     |            15801 |              nan |
|   2 | Sackett                        |                    1 | Elk County            |            16735 |              nan |
|   3 | Sackville                      |                    1 | Delaware County       |              nan |              nan |
|   4 | Saco                           |                    1 | Bradford County       |            18850 |              nan |
|   5 | Saco                           |                    1 | Lackawanna County     |              nan |              nan |
|   6 | Sacramento                     |                    1 | Schuylkill County     |            17968 |              nan |
|   7 | Sadlers Corner                 |                    1 | Venango County        |              nan |              nan |
|   8 | Sadsbury Meeting House         |                    1 | Lancaster County      |              nan |              nan |
|   9 | Sadsbury Township              |                    1 | Chester County        |              nan |              nan |
|  10 | Sadsbury Township              |                    1 | Crawford County       |              nan |              nan |
|  11 | Sadsbury Township              |                    1 | Lancaster County      |              nan |              nan |
|  12 | Sadsburyville                  |                    1 | Chester County        |            19369 |              nan |
|  13 | Saegers                        |                    1 | Lycoming County       |              nan |              nan |
|  14 | Saegersville                   |                    1 | Lehigh County         |            18053 |              nan |
|  15 | Saegertown                     |                    1 | Crawford County       |            16433 |              nan |
|  16 | Safe Harbor                    |                    1 | Lancaster County      |            17516 |              nan |
|  17 | Sagamore                       |                    1 | Armstrong County      |            16250 |              nan |
|  18 | Sagamore                       |                    1 | Fayette County        |            15446 |              nan |
|  19 | Sagamore Estates               |                    1 | Pike County           |              nan |              nan |
|  20 | Saginaw                        |                    1 | York County           |            17347 |              nan |
|  21 | Sagon                          |                    1 | Northumberland County |            17872 |              nan |
|  22 | Sagon Junction                 |                    1 | Northumberland County |              nan |              nan |
|  23 | St. Albans                     |                    1 | Delaware County       |            19073 |              nan |
|  24 | St. Augustine                  |                    1 | Cambria County        |            16636 |              nan |
|  25 | St. Benedict                   |                    1 | Cambria County        |            15773 |              nan |
|  26 | St. Boniface                   |                    1 | Cambria County        |            16675 |              nan |
|  27 | St. Charles                    |                    1 | Clarion County        |            16242 |              nan |
|  28 | St. Clair                      |                    1 | Allegheny County      |              nan |              nan |
|  29 | St. Clair                      |                    1 | Schuylkill County     |            17970 |              nan |
|  30 | St. Clair                      |                    1 | Westmoreland County   |            15601 |              nan |
|  31 | St. Clair Acres                |                    1 | Allegheny County      |            15241 |              nan |
|  32 | St. Clair Township             |                    1 | Westmoreland County   |              nan |              nan |
|  33 | St. Clairsville                |                    1 | Bedford County        |            16667 |              nan |
|  34 | St. Davids                     |                    1 | Delaware County       |            19087 |              nan |
|  35 | St. George                     |                    1 | Venango County        |            16374 |              nan |
|  36 | St. Joe                        |                    1 | Butler County         |              nan |              nan |
|  37 | St. Johns                      |                    1 | Luzerne County        |            18247 |              nan |
|  38 | St. Joseph                     |                    1 | Susquehanna County    |            18818 |              nan |
|  39 | St. Lawrence                   |                    1 | Berks County          |            19606 |              nan |
|  40 | St. Lawrence                   |                    1 | Cambria County        |            16668 |              nan |
|  41 | St. Leonard                    |                    1 | Bucks County          |            18940 |              nan |
|  42 | St. Martins                    |                    1 | Philadelphia County   |              nan |              nan |
|  43 | St. Marys                      |                    1 | Chester County        |              nan |              nan |
|  44 | St. Marys                      |                    1 | Elk County            |            15857 |              nan |
|  45 | Saint Marys Seminary           |                    1 | Montgomery County     |              nan |              nan |
|  46 | St. Michael                    |                    1 | Cambria County        |            15951 |              nan |
|  47 | St. Michael-Sidman             |                    1 | Cambria County        |              nan |              nan |
|  48 | St. Nicholas                   |                    1 | Schuylkill County     |            17948 |              nan |
|  49 | St. Paul                       |                    1 | Somerset County       |            15552 |              nan |
|  50 | Saint Pauls Church             |                    1 | Philadelphia County   |              nan |              nan |
|  51 | St. Peters                     |                    1 | Chester County        |            19470 |              nan |
|  52 | St. Petersburg                 |                    1 | Clarion County        |            16054 |              nan |
|  53 | St. Thomas                     |                    1 | Franklin County       |            17252 |              nan |
|  54 | St. Thomas Township            |                    1 | Franklin County       |              nan |              nan |
