======================================================================
3-Round + Parallel Analysis (FIXED) - Question #2703
======================================================================

Title: List of experiments from Lilo &amp; Stitch
Question: in episode 220 of leroy & stitch, the nickname was not shrink. what was the nickname?
Expected Answer: ['Millie']

----------------------------------------------------------------------
Table:
|    |   Num | Pod Color         | Nickname                                | Short Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Episode                                      |
|---:|------:|:------------------|:----------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------------------------------|
|  0 |     1 | Blue              | Shrink                                  | A small purple experiment with a white lower jaw and chest, three wobbly legs, two stubby little arms and two floppy antennae with two rings on each antenna. Designed to zap a green ray from his antennas to change the size of objects. His picture appears on the wall of Jumba's lab in Leroy & Stitch, along with several other pictures of Jumba and Dr. Hämsterviel's early accomplishments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Leroy & Stitch                               |
|  1 |     2 | Purple            | Doubledip                               | A purple opossum-like experiment with two light purple stripes on the back of his ears, beady eyes and an orange nose (In Leroy & Stitch, his nose is dark purple). Designed to double-dip food. His one true place is with Mrs. Hasagawa as one of her "cats". He somehow changed in size in Leroy & Stitch.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 220, Leroy & Stitch                          |
|  2 |     3 | nan               | Howcome                                 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
|  3 |     4 | nan               | Squawk                                  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
|  4 |     5 | nan               | Truxx                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
|  5 |     6 | nan               | Percy                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
|  6 |     7 | White             | Gigi (also known as "Yapper")           | She is a white Shih Tzu-like experiment with a purple bow. Designed to annoy people with her constant barking. She behaves like a typical "good dog": does tricks, licks her owner's face, fetches the morning paper, etc. Because of her appearance and behavior, 007 was adopted by Mertle and wasn't recognized as an experiment until Jumba saw her. Her episode is named "Yapper" after the nickname Lilo gave her, but she is officially "Gigi" on the experiment name list in Leroy & Stitch. Her one true place is with Mertle, as her pet. In Leroy and Stitch, it is revealed that she can speak English very well. At the end of the movie, Mertle joins Lilo and Stitch's ʻohana because Gigi wants to be in it with the rest of Jumba's experiments. She is voiced by Tress MacNeille.                                                                                                                                                                                                                                                                                                                                                                                                                                            | 108, 118, 209, Leroy & Stitch                |
|  7 |     8 | Orange/Brown      | Carmine                                 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
|  8 |     9 | nan               | Pop                                     | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
|  9 |    10 | Green             | Felix                                   | A green anteater-like experiment with a small body, mouth, arms and legs, a thin tail with a brushy fuzz at the end, a vacuum-like trunk that can fire lasers, dark eyes, short ears, and three dark-tipped spines. Designed to sterilize, disinfect, and clean everything in sight. However, he had a problem with doing these tasks: he threw anything away, assuming it was trash, and tried to "sterilize" anyone, assuming they were germs. 010 was upgraded to try to be less of a neat-freak. Instead, he turned into a dirt-maker, so Lilo gave him to Gantu. Gantu sent 010 to Hämsterviel, who didn't like him and sent him back. Gantu set him free, and Lilo and Stitch found him. Later, after he was upgraded, they sent him back to Gantu, who sent him back to Hämsterviel, who sent him back to Gantu when Woops almost broke his cover. Felix was rescued later in "Snafu." The only thing that 010 can say with both of his upgrades is dirty but with Felix he says it disgustedly while with Oscar he says it happily. Both of 010's names are a reference to the main characters of The Odd Couple. He is voiced by Tress MacNeille in the TV series, while he is voiced by Steven Blum in the anime's dubbed version. | 131, 224, 226, Leroy & Stitch, Stitch!       |
| 10 |    11 | Green             | Inkstain                                | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 11 |    12 | nan               | Antitherm                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 12 |    13 | nan               | Furry                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 13 |    14 | White             | Kernel                                  | A tan gourd-shaped experiment with a large opening at the top of his head. Designed to pop popcorn. His one true place is in a movie theater. Was mentioned in "Angel" when Jumba said "624 is harmless early experiment. Designed to...pop popcorn for Jumba's movie night."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Leroy & Stitch                               |
| 14 |    15 | nan               | Ruggles                                 | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 15 |    16 | nan               | Matt                                    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 16 |    17 | nan               | Lidds                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 17 |    18 | nan               | Puck                                    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 18 |    19 | White             | Clumsy                                  | Seen in pod form in Stitch! The Movie. Pod says 19 instead of 019. Function unknown.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Leroy & Stitch                               |
| 19 |    20 | Red               | Slick                                   | A fast-talking, pink experiment with a resemblance to Jumba and Cannonball (520), but with a smaller face and two ebony-black eyes who wears a straw boater hat and bowtie, carries a cane, and acts as a salesperson who never turns down a customer. Designed to be able to sell anything to anyone. Lilo used him to get ahead in the chocolate bar selling contest/fundraiser, but Mertle took him. When Lilo took him back, Mertle took him back again. Lilo tried to take him back once more, but found out Mertle sold him to Reuben. Slick was rescued, but Lilo had to give up the contest by giving her last chocolate bar to Gantu as a swap for Slick. His one true place is at a fundraiser, following which he began working for charity, not profit. Slick was one of the experiments Lilo turned to for the capture of Ploot, but besides selling her an umbrella that she later used against Ploot, he didn't/couldn't help. He is voiced by Jeff Glen Bennett.                                                                                                                                                                                                                                                               | 205, 217, Leroy & Stitch                     |
| 20 |    21 | nan               | Twang                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 21 |    22 | nan               | Hertz Donut                             | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 22 |    23 | nan               | Cyclo                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 23 |    24 | Purple            | Hamlette                                | An experiment designed to turn objects into ham. She was activated when Mrs. Hasagawa's cats were activated, as indicated by Gantu's experiment computer, but did not physically appear in the episode. She was referred to in Remmy when Pleakley said, "Is that the one that turns everything into ham?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 215, 220                                     |
| 24 |    25 | White             | Topper                                  | A small yellow star-shaped creature with a little antenna on his head. Designed to be a beacon to signal the alien attack fleet, but the official Disney website states his purpose is to keep people awake with his bright light. Topper is given to a little girl as a Christmas present, then placed atop the local Christmas tree and emits a light so bright that aliens from other galaxies can see him from Earth. His number is likely a reference to Christmas Day (December 25). He is voiced by Tress MacNeille.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 114, 132, Leroy & Stitch                     |
| 25 |    26 | nan               | Pawn                                    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 26 |    27 | nan               | Plushy                                  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
| 27 |    28 | White             | Lori                                    | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | leroy and stitch                             |
| 28 |    29 | Yellow and Purple | Checkers                                | A yellow centipede-like experiment that sits curled up like a crown on people's heads. Designed to make his wearer a king or queen by hypnotizing those around them, with the exception of higher experiments. The victims retain their normal personality while under its control, and the effect immediately wears off once Checkers is removed. Lilo first donned him, but her good intentions got many people arrested by Mertle for being "troublemakers" when they accidentally disobeyed Lilo's rules. When Lilo decided to step down, Gantu took Checkers and was in power until Stitch gathered several experiments to help overthrow him. His one true place is as a decorative crown for festivals. In the Stitch! Anime, it is shown that he will jump off his wearer if he eats really spicy foods. He is voiced by Billy West.                                                                                                                                                                                                                                                                                                                                                                                                   | 207, Leroy & Stitch                          |
| 29 |    30 | nan               | Vialet                                  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Leroy & Stitch                               |
